Station,Long_DD,Lat_DD,Location,Survey,note,Region,Program,Bot_depth,Bot_depth_,NONNA_10m_,NOAA_3arcs
AB1,-126.0299,49.1769,Ahous Bay,CEDAR COAST,,Clayoquot,Oceanography,0,16,-23.8,-16.1
ALCOVE,-128.1162,51.6752,Choked Pass,,,Central Coast,Oceanography,,8,-2.6,-0.1
BED1,-125.8983333,49.24171667,East of Saranac Island,CEDAR COAST,,Clayoquot,Oceanography,0,6,-33.0,-6.3
BED10,-125.7793167,49.36201667,Head of Bedwell Sound,CEDAR COAST,,Clayoquot,Oceanography,0,1,0.0,-0.8
BED2,-125.9175167,49.25005,West of Saranac Island,CEDAR COAST,,Clayoquot,Oceanography,0,41,-42.6,-41.5
BED3,-125.8902333,49.26603333,Cypre estuary,CEDAR COAST,,Clayoquot,Oceanography,0,53,-24.2,-52.8
BED4,-125.8628833,49.24973333,Near Cypress Bay,CEDAR COAST,,Clayoquot,Oceanography,0,56,-58.0,-56.2
BED5,-125.8229333,49.24398333,near Matslet Narrows,CEDAR COAST,,Clayoquot,Oceanography,0,102,-105.9,-99.6
BED6,-125.8243,49.26971667,Bedwell Sound,CEDAR COAST,,Clayoquot,Oceanography,0,51,-60.6,-52.5
BED7,-125.8175,49.29286667,Bedwell Sound,CEDAR COAST,,Clayoquot,Oceanography,0,15,-61.7,-20.2
BED8,-125.8105667,49.30518333,Bedwell Sound,CEDAR COAST,,Clayoquot,Oceanography,0,26,-60.6,-26.5
BED9,-125.8042,49.33081667,Bedwell Sound near Bare Bluff,CEDAR COAST,,Clayoquot,Oceanography,0,6,-86.0,-6.1
BRK01,-127.889,51.914,Burke Channel,Burke Channel,,Central Coast,Oceanography,150,141,-143.1,-141.0
BRK02,-127.843,51.93,Burke Channel,Burke Channel,,Central Coast,Oceanography,135,131,-135.2,-130.0
BRK03,-127.8,51.946,Burke Channel,Burke Channel,,Central Coast,Oceanography,140,117,-129.8,-115.8
BRK04,-127.766,51.955,Burke Channel,Burke Channel,,Central Coast,Oceanography,43,38,-37.1,-36.0
BRK05,-127.698,51.958,Burke Channel,Burke Channel,,Central Coast,Oceanography,208,203,-209.8,-205.4
BS1,-124.8666667,49.60833333,Baynes Sound,,"Pacific Salmon Foundation's Citizen Science Program, pCO2, TCO2 , Salinity, PSF CTD",,Ocean Acidification,,38,-36.8,-37.9
BS1_DBOS,-124.8756035,49.61279998,,Deep Bay Oceanography Survey (Sarah Leduc),"Close to BS1 PSF station, north end of Denman",,Ocean Acidification,,38,-34.8,-37.9
BS14,-124.8990027,49.64500348,Baynes Sound,Deep Bay Oceanography Survey (Sarah Leduc),"North end, near Courtenay, off Manatee Holdings",,Ocean Acidification,,37,-34.6,-36.9
